,name,price,standard_price,flag,category
0,komoda MultiDo 120 cm z 3 drzwiami i 2 szufladami dąb artisan,599,0.0,['NOWOŚĆ'],komoda
1,krzesło Gent 2 ekoskóra czarne/dąb stirling,289,0.0,['SZOKUJĄCO NISKA CENA'],krzesło
2,biurko Darin 100 cm ze schowkiem i oświetleniem LED  dąb arlington/biały,599,0.0,['WYPRZEDAŻ'],biurko
3,regał Walton 105 cm z drzwiami 3 szufladami i 3 półkami dąb wielki/dąb czarny,599,0.0,['WYPRZEDAŻ'],regał
4,półki do szafy Time,59,0.0,['SZOKUJĄCO NISKA CENA'],półki do szafy
5,łóżko Tetrix 90x200 ze stelażem i pojemnikiem biały połysk,1699,0.0,[],łóżko
6,łóżko Homeland 100x200 z szufladami biały/dąb artisan,999,0.0,['NOWOŚĆ'],łóżko
7,szafa czterodrzwiowa Nuis 90 cm dąb wotan/biały połysk,1159,0.0,[],szafa czterodrzwiowa
8,łóżko piętrowe Namek 80x180 buk iconic/szary,2769,0.0,[],łóżko piętrowe
9,szafa dwudrzwiowa Erla 98 cm z szufladą biały połysk/dąb minerva,1549,0.0,[],szafa dwudrzwiowa
10,szafa narożna Nuis 78x78 cm dąb wotan/biały połysk,899,0.0,['Promocja'],szafa narożna
11,łóżko Amino 160x200 dąb wotan/czarny,789,0.0,['NOWOŚĆ'],łóżko
12,szafa do przedpokoju Go 74 cm z lustrem dąb sonoma,1149,0.0,[],szafa do przedpokoju
13,łóżko Nepo Plus 90x200 białe,469,0.0,[],łóżko
14,szafka na buty Fever 80 cm z siedzikiem biały połysk,319,0.0,['WYPRZEDAŻ'],szafka na buty
15,komplet do przedpokoju Go 238 cm dąb sonoma,2999,0.0,[],komplet do przedpokoju
16,sofa trzyosobowa Bloom rozkładana z pojemnikiem welurowa beżowa,2849,0.0,[],sofa trzyosobowa
17,szafa dwudrzwiowa Azteca Trio 105 cm biały połysk,1209,0.0,['Promocja'],szafa dwudrzwiowa
18,szafka RTV Yamael 184 cm z 2 drzwiami i 2 szufladami biała,1429,0.0,[],szafka RTV
19,komoda Yamael 139 cm z 3 drzwiami i 2 szufladami dąb artisan/biały,1389,0.0,[],komoda
20,stół rozkładany Patras 140/180x80 dąb april,769,0.0,[],stół rozkładany
